티커,BPS,PER,PBR,EPS,DIV,DPS,ticker,sector
095570,6802,4.07,0.59,982,7.5,300,095570,1001/1004/1026/1244
006840,62448,13.24,0.46,2168,2.61,750,006840,1001/1004/1021/1244
027410,15699,23.23,0.42,281,1.68,110,027410,1001/1003/1021/1244
282330,36022,19.69,4.79,8763,1.57,2700,282330,1001/1003/1016/1028/1034/1157/1182/1224/1227/1232
138930,25415,3.9,0.25,1647,5.61,360,138930,1001/1003/1021/1028/1034/1156/1182/1224/1227/1232
001460,517079,10.82,0.7,33265,0.31,1100,001460,1001/1004/1006/1027/1244
001465,0,0.0,0.0,0,0.72,1150,001465,
001040,126448,11.69,0.76,8240,1.92,1850,001040,1001/1002/1021/1028/1034/1157/1182/1224/1227/1232
079160,11590,0.0,2.47,0,0.0,0,079160,1001/1003/1026/1028/1150/1167/1182/1224/1227/1232
00104K,0,0.0,0.0,0,2.59,1900,00104K,
000120,131146,126.4,1.3,1349,0.0,0,000120,1001/1002/1019/1028/1034/1159/1182/1224/1227/1232
011150,1781,87.6,2.51,51,0.0,0,011150,1001/1004/1005/1027/1244
011155,0,0.0,0.0,0,0.0,0,011155,
001045,0,0.0,0.0,0,3.45,1900,001045,
097950,297949,42.8,1.37,9516,0.86,3500,097950,1001/1002/1005/1027/1028/1034/1157/1182/1224/1227/1232
097955,0,0.0,0.0,0,1.93,3550,097955,
000590,195584,7.01,0.3,8435,0.85,500,000590,1001/1004/1021/1244
012030,1049,37.66,0.83,23,0.0,0,012030,1001/1004/1026/1244
016610,16484,4.9,0.35,1172,4.36,250,016610,1001/1004/1021/1024/1244
005830,84026,7.22,0.51,5966,3.48,1500,005830,1001/1002/1021/1025/1028/1034/1156/1182/1224/1227/1232
000990,14483,21.73,3.62,2410,0.67,350,000990,1001/1003/1013/1027/1028/1155/1167/1182/1224/1227/1232
000995,0,0.0,0.0,0,0.38,400,000995,
139130,27296,4.14,0.29,1900,5.21,410,139130,1001/1003/1021/1244
001530,195965,23.8,0.82,6765,0.93,1500,001530,1001/1004/1016/1244
000210,153815,4.52,0.51,17223,1.67,1300,000210,1001/1003/1018/1028/1034/1151/1182/1224/1227/1232
000215,0,0.0,0.0,0,3.4,1350,000215,
375500,0,0.0,0.0,0,0.0,0,375500,1001/1003/1018/1028/1151/1167/1182/1224/1227/1232
37550K,0,0.0,0.0,0,0.0,0,37550K,
004840,17771,14.47,0.38,461,1.5,100,004840,1001/1004/1021/1244
155660,9613,9.76,0.55,546,0.94,50,155660,1001/1004/1011/1027/1244
069730,9851,11.22,0.53,469,0.76,40,069730,1001/1004/1011/1027/1244
017940,166288,0.0,0.24,0,5.45,2200,017940,1001/1004/1016/1244
007700,31366,19.98,4.56,7158,0.7,1000,007700,1001/1003/1006/1027/1028/1158/1167/1182/1224/1227/1232
114090,9460,14.27,1.77,1170,3.95,659,114090,1001/1003/1026/1028/1158/1167/1182/1224/1227/1232
078930,93746,6.96,0.43,5745,4.75,1900,078930,1001/1002/1021/1028/1034/1154/1182/1224/1227/1232
006360,49623,6.99,0.79,5590,2.56,1000,006360,1001/1002/1018/1028/1034/1151/1182/1224/1227/1232
001250,4351,0.0,0.53,0,0.0,0,001250,1001/1004/1016/1244
007070,28232,21.27,1.3,1729,2.04,750,007070,1001/1002/1016/1028/1034/1157/1182/1224/1227/1232
078935,0,0.0,0.0,0,6.15,1950,078935,
012630,36131,2.44,0.3,4460,1.83,200,012630,1001/1003/1021/1028/1151/1167/1182/1224/1227/1232
039570,10245,0.0,0.95,0,3.6,350,039570,1001/1004/1018/1244
089470,8886,13.89,0.7,445,1.94,120,089470,1001/1004/1008/1027/1244
294870,47095,3.14,0.58,8731,1.82,500,294870,1001/1003/1018/1028/1151/1167/1182/1224/1227/1232
011200,3420,0.0,6.32,0,0.0,0,011200,1001/1002/1019/1028/1159/1167/1182/1224/1227/1232
082740,5722,0.0,1.28,0,0.0,0,082740,1001/1004/1012/1027/1244
003560,933,0.0,2.05,0,0.0,0,003560,1001/1004/1026/1244
175330,17615,3.8,0.35,1641,4.81,300,175330,1001/1003/1021/1244
234080,7744,14.62,2.61,1385,2.47,500,234080,1001/1004/1009/1027/1244
001060,10059,0.0,2.95,0,1.09,325,001060,1001/1003/1009/1027/1028/1160/1167/1182/1224/1227/1232
001067,0,0.0,0.0,0,0.58,350,001067,
001065,0,0.0,0.0,0,1.16,350,001065,
096760,2191,0.0,2.29,0,1.8,90,096760,1001/1004/1021/1244
105560,92672,5.96,0.54,8451,4.38,2210,105560,1001/1002/1021/1028/1034/1035/1156/1182/1224/1227/1232
002380,421723,0.0,0.48,0,2.7,5500,002380,1001/1003/1008/1027/1028/1154/1167/1182/1224/1227/1232
009070,6409,34.47,1.29,239,0.55,45,009070,1001/1004/1019/1244
009440,7996,11.71,0.54,369,1.39,60,009440,1001/1004/1021/1244
119650,5805,54.9,1.41,149,0.37,30,119650,1001/1004/1012/1027/1244
092220,1782,0.0,1.33,0,0.0,0,092220,1001/1004/1013/1027/1244
016380,8886,0.0,1.45,0,0.0,0,016380,1001/1003/1011/1027/1028/1153/1167/1182/1224/1227/1232
016385,0,0.0,0.0,0,0.0,0,016385,
001390,26210,3.3,0.97,7691,1.38,350,001390,1001/1004/1008/1027/1244
001940,44246,5.24,0.34,2909,1.84,280,001940,1001/1004/1011/1027/1244
025000,96367,7.18,0.64,8571,4.07,2500,025000,1001/1004/1008/1027/1244
092230,149477,6.67,0.38,8406,4.63,2600,092230,1001/1004/1008/1027/1244
000040,318,0.0,4.21,0,0.0,0,000040,1001/1004/1015/1027/1244
044450,12026,10.3,0.89,1034,2.54,270,044450,1001/1004/1019/1244
030200,52341,10.69,0.52,2526,4.07,1100,030200,1001/1002/1020/1028/1034/1035/1150/1182/1224/1227/1232
033780,63008,9.8,1.28,8208,5.47,4400,033780,1001/1002/1027/1028/1034/1035/1157/1182/1224/1227/1232
030210,8098,6.23,0.52,681,3.53,150,030210,1001/1004/1021/1024/1244
058850,3715,16.23,0.78,178,2.77,80,058850,1001/1004/1026/1244
058860,4835,10.48,0.59,272,3.16,90,058860,1001/1004/1026/1244
093050,41768,6.92,0.38,2313,3.13,500,093050,1001/1003/1006/1027/1244
003550,107050,14.96,0.86,6143,2.39,2200,003550,1001/1002/1021/1028/1034/1035/1155/1182/1224/1227/1232
034220,31694,0.0,0.72,0,0.0,0,034220,1001/1002/1013/1027/1028/1034/1035/1155/1182/1224/1227/1232
001120,30224,40.0,0.98,739,1.02,300,001120,1001/1003/1016/1028/1159/1167/1182/1224/1227/1232
051900,234042,33.84,6.71,46431,0.7,11000,051900,1001/1002/1008/1027/1028/1034/1035/1157/1182/1224/1227/1232
051905,0,0.0,0.0,0,1.58,11050,051905,
003555,0,0.0,0.0,0,3.37,2250,003555,
032640,16218,12.04,0.75,1005,3.31,400,032640,1001/1002/1020/1028/1034/1035/1150/1182/1224/1227/1232
011070,93151,50.44,2.34,4323,0.14,300,011070,1001/1002/1013/1027/1028/1034/1155/1182/1224/1227/1232
066570,79245,902.5,1.92,169,0.49,750,066570,1001/1002/1013/1027/1028/1034/1035/1155/1182/1224/1227/1232
066575,0,0.0,0.0,0,1.14,800,066575,
108670,91420,63.44,0.8,1154,0.34,250,108670,1001/1003/1008/1027/1028/1151/1167/1182/1224/1227/1232
108675,0,0.0,0.0,0,0.87,300,108675,
037560,12283,0.0,0.37,0,1.66,75,037560,1001/1004/1026/1244
051910,217230,231.1,4.35,4085,0.21,2000,051910,1001/1002/1008/1027/1028/1034/1035/1154/1182/1224/1227/1232
051915,0,0.0,0.0,0,0.49,2050,051915,
079550,28817,263.0,1.32,145,1.57,600,079550,1001/1003/1012/1027/1028/1159/1167/1182/1224/1227/1232
006260,98330,72.4,0.67,912,2.2,1450,006260,1001/1003/1021/1028/1159/1167/1182/1224/1227/1232
010120,45353,16.84,1.32,3542,2.01,1200,010120,1001/1003/1013/1027/1028/1159/1167/1182/1224/1227/1232
000680,6590,0.0,0.41,0,0.0,0,000680,1001/1004/1016/1244
229640,4591,14.42,1.64,523,2.39,180,229640,1001/1004/1021/1244
023150,7785,0.0,1.04,0,4.31,350,023150,1001/1004/1005/1027/1244
035420,35223,95.0,10.8,4006,0.1,376,035420,1001/1002/1026/1028/1034/1035/1150/1182/1224/1227/1232
181710,80696,105.94,0.86,656,0.0,0,181710,1001/1003/1026/1244
005940,17934,7.16,0.63,1585,4.41,500,005940,1001/1002/1021/1024/1028/1034/1156/1182/1224/1227/1232
005945,0,0.0,0.0,0,6.19,550,005945,
034310,18100,22.5,0.96,771,1.33,230,034310,1001/1003/1026/1244
008260,3877,15.92,0.92,224,1.4,50,008260,1001/1004/1011/1027/1244
004250,6745,12.14,0.62,343,2.4,100,004250,1001/1004/1008/1027/1244
004255,0,0.0,0.0,0,4.38,105,004255,
010060,110515,0.0,1.13,0,0.0,0,010060,1001/1003/1008/1027/1028/1154/1167/1182/1224/1227/1232
