ticker,EPS,PER,BPS,PBR,DPS,DIV
095570,982,4.07,6802,0.59,300,7.5
006840,2168,13.24,62448,0.46,750,2.61
027410,281,23.23,15699,0.42,110,1.68
282330,8763,19.69,36022,4.79,2700,1.57
138930,1647,3.9,25415,0.25,360,5.61
001460,33265,10.82,517079,0.7,1100,0.31
001465,0,0.0,0,0.0,1150,0.72
001040,8240,11.69,126448,0.76,1850,1.92
079160,0,0.0,11590,2.47,0,0.0
00104K,0,0.0,0,0.0,1900,2.59
000120,1349,126.4,131146,1.3,0,0.0
011150,51,87.6,1781,2.51,0,0.0
011155,0,0.0,0,0.0,0,0.0
001045,0,0.0,0,0.0,1900,3.45
097950,9516,42.8,297949,1.37,3500,0.86
097955,0,0.0,0,0.0,3550,1.93
000590,8435,7.01,195584,0.3,500,0.85
012030,23,37.66,1049,0.83,0,0.0
016610,1172,4.9,16484,0.35,250,4.36
005830,5966,7.22,84026,0.51,1500,3.48
000990,2410,21.73,14483,3.62,350,0.67
000995,0,0.0,0,0.0,400,0.38
139130,1900,4.14,27296,0.29,410,5.21
001530,6765,23.8,195965,0.82,1500,0.93
000210,17223,4.52,153815,0.51,1300,1.67
000215,0,0.0,0,0.0,1350,3.4
375500,0,0.0,0,0.0,0,0.0
37550K,0,0.0,0,0.0,0,0.0
004840,461,14.47,17771,0.38,100,1.5
155660,546,9.76,9613,0.55,50,0.94
069730,469,11.22,9851,0.53,40,0.76
017940,0,0.0,166288,0.24,2200,5.45
007700,7158,19.98,31366,4.56,1000,0.7
114090,1170,14.27,9460,1.77,659,3.95
078930,5745,6.96,93746,0.43,1900,4.75
006360,5590,6.99,49623,0.79,1000,2.56
001250,0,0.0,4351,0.53,0,0.0
007070,1729,21.27,28232,1.3,750,2.04
078935,0,0.0,0,0.0,1950,6.15
012630,4460,2.44,36131,0.3,200,1.83
039570,0,0.0,10245,0.95,350,3.6
089470,445,13.89,8886,0.7,120,1.94
294870,8731,3.14,47095,0.58,500,1.82
011200,0,0.0,3420,6.32,0,0.0
082740,0,0.0,5722,1.28,0,0.0
003560,0,0.0,933,2.05,0,0.0
175330,1641,3.8,17615,0.35,300,4.81
234080,1385,14.62,7744,2.61,500,2.47
001060,0,0.0,10059,2.95,325,1.09
001067,0,0.0,0,0.0,350,0.58
001065,0,0.0,0,0.0,350,1.16
096760,0,0.0,2191,2.29,90,1.8
105560,8451,5.96,92672,0.54,2210,4.38
002380,0,0.0,421723,0.48,5500,2.7
009070,239,34.47,6409,1.29,45,0.55
009440,369,11.71,7996,0.54,60,1.39
119650,149,54.9,5805,1.41,30,0.37
092220,0,0.0,1782,1.33,0,0.0
016380,0,0.0,8886,1.45,0,0.0
016385,0,0.0,0,0.0,0,0.0
001390,7691,3.3,26210,0.97,350,1.38
001940,2909,5.24,44246,0.34,280,1.84
025000,8571,7.18,96367,0.64,2500,4.07
092230,8406,6.67,149477,0.38,2600,4.63
000040,0,0.0,318,4.21,0,0.0
044450,1034,10.3,12026,0.89,270,2.54
030200,2526,10.69,52341,0.52,1100,4.07
033780,8208,9.8,63008,1.28,4400,5.47
030210,681,6.23,8098,0.52,150,3.53
058850,178,16.23,3715,0.78,80,2.77
058860,272,10.48,4835,0.59,90,3.16
093050,2313,6.92,41768,0.38,500,3.13
003550,6143,14.96,107050,0.86,2200,2.39
034220,0,0.0,31694,0.72,0,0.0
001120,739,40.0,30224,0.98,300,1.02
051900,46431,33.84,234042,6.71,11000,0.7
051905,0,0.0,0,0.0,11050,1.58
003555,0,0.0,0,0.0,2250,3.37
032640,1005,12.04,16218,0.75,400,3.31
011070,4323,50.44,93151,2.34,300,0.14
066570,169,902.5,79245,1.92,750,0.49
066575,0,0.0,0,0.0,800,1.14
108670,1154,63.44,91420,0.8,250,0.34
108675,0,0.0,0,0.0,300,0.87
037560,0,0.0,12283,0.37,75,1.66
051910,4085,231.1,217230,4.35,2000,0.21
